INDEX	X1	Y1	X2	Y2	NOTE	cluster	color
1	2805	2450	2995	2581	10_29cells_upper	5	#7570B3
2	2152	4259	2277	4439	67_26cells_upper	0	#828282
3	3847	2392	4050	2595	32_49cells_middle	5	#7570B3
4	3503	2395	3733	2552	31_43cells_middle	5	#7570B3
5	3042	1581	3178	1804	1_36cells_middle	5	#7570B3
6	2773	2171	2893	2281	3_15cells_middle	5	#7570B3
7	4910	4695	5007	4814	60_13cells_middle	3	#D95F02
8	4374	4808	4452	4950	54_13cells_middle	3	#D95F02
9	4761	5405	4864	5475	59_8cells_middle	2	#7A7E3C
10	2524	3114	2870	3258	20_59cells_lower	4	#A7675A
11	1882	3619	2059	3813	63_41cells_lower	0	#828282
12	3626	2829	3814	2997	30_37cells_lower	2	#7A7E3C
13	3438	3216	3568	3414	24_30cells_lower	4	#A7675A
14	4235	2591	4410	2709	34_24cells_lower	3	#D95F02
15	4057	4004	4137	4142	52_13cells_lower	1	#1B9E77
16	3985	3335	4048	3473	40_10cells_lower	2	#7A7E3C
17	3184	2574	3509	2830	16_99cells__noIsolation_middle	4	#A7675A
18	2982	3393	3088	3786	22_49cells__noIsolation_middle	4	#A7675A
19	2870	2697	3049	2840	12_30cells__noIsolation_middle	0	#828282
20	4044	3014	4160	3091	37_10cells__noIsolation_middle	3	#D95F02
21	4174	5324	4260	5433	58_11cells__noIsolation_bottom	3	#D95F02
22	3754	4624	3864	4700	56_10cells__noIsolation_bottom	2	#7A7E3C
23	3771	4895	3860	4964	57_7cells__noIsolation_bottom	1	#1B9E77
24	2411	4179	2536	4268	66_13cells_middle	1	#1B9E77
25	2512	2556	2691	2634	8_16cells__noIsolation_top	5	#7570B3
26	2334	2959	2507	3093	17_27cells_lower	4	#A7675A
27	2733	2347	2921	2437	6_20cells_middle	0	#828282
28	2996	4090	3074	4127	68_3cells__noIsolation_middle	1	#1B9E77
